,question,sql
264,What is the highest value under the column goals against?,SELECT MAX Goals Against FROM table
265,what is the minimum norwegian americans (1980) where state is rhode island,SELECT MIN Norwegian Americans (1980) FROM table WHERE State = Rhode Island
266,"How many seasons is the season finale on May 26, 2010?","SELECT COUNT Season FROM table WHERE Season finale = May 26, 2010"
267,what is the maximum total region with fitzroy being 8047,SELECT MAX Total Region FROM table WHERE Fitzroy = 8047
268,What is the smallest track number?,SELECT MIN Track FROM table
269,What's the total attendance of the leagues in season of 2010?,SELECT COUNT Total attendance FROM table WHERE Season = 2010
270,What is the maximum population size in the town of Stanthorpe?,SELECT MAX Population (Stanthorpe) FROM table
271,"What is the earliest year where the mintage (proof) is 25,000?","SELECT MIN Year FROM table WHERE Mintage (Proof) = 25,000"
272,How many are listed under 潮爆大狀,SELECT COUNT Peak FROM table WHERE Chinese title = 潮爆大狀
273,What is the maximum population size in the town of Glengallen?,SELECT MAX Population (Glengallan) FROM table
274,What is the season # where production code is k1505?,SELECT MIN Season # FROM table WHERE Production code = K1505
275,"How many people wrote ""Michael's Game""?","SELECT COUNT Writer(s) FROM table WHERE Title = ""Michael's Game"""
276,What was the population in Stanthorpe in the year when the population in Rosenthal was 1548?,SELECT MAX Population (Stanthorpe) FROM table WHERE Population (Rosenthal) = 1548
277,What's the minimal game number in the season?,SELECT MIN Game FROM table
278,What's the total number of episodes with the production code 2395113A?,SELECT COUNT Title FROM table WHERE Production code = 2395113A
279,What is the biggest number of the team who's owned by Jeff Gordon?,SELECT MAX # FROM table WHERE Owner(s) = Jeff Gordon
280,What is the lowest #?,SELECT MIN # FROM table
281,"how many times does the episode called ""coop de grace"" appear ","SELECT COUNT No. in series FROM table WHERE Title = ""Coop de Grace"""
282,What is the most number of truck loads north?,SELECT MAX Number of Truck Loads North FROM table
283,Name the minimum game,SELECT MIN Game FROM table
284,How many colleges have a DB position?,SELECT COUNT College FROM table WHERE Position = DB
285,What is thea year the road closed April 13?,SELECT MAX Year FROM table WHERE Road Closed = April 13
286,Name the minimum for prohibition?,SELECT MIN For Prohibition FROM table
287,How many CFL teams are from York college?,SELECT COUNT CFL Team FROM table WHERE College = York
288,What is the most number?,SELECT MAX # FROM table
289,What chapter number is Shiqiu?,SELECT MIN Chapter FROM table WHERE Pinyin = Shiqiu
290,How many times were players named brett ralph were selected?,SELECT COUNT Pick # FROM table WHERE Player = Brett Ralph
291,What year was the player born who is 2.02m tall?,SELECT MAX Year born FROM table WHERE Height = 2.02
292,what's the minimum production code written by jay sommers & dick chevillat and al schwartz,SELECT MIN Production code FROM table WHERE Written by = Jay Sommers & Dick Chevillat and Al Schwartz
293,How many fb players were drafted?,SELECT COUNT Pick # FROM table WHERE Position = FB
294,What number does aleksandar ćapin wear?,SELECT MAX No FROM table WHERE Player = Aleksandar Ćapin
295,When did Chetan Anand win his first men's single?,SELECT MIN Year FROM table WHERE Mens singles = Chetan Anand
296,How many players played for adams state school?,SELECT COUNT Player FROM table WHERE College = Adams State
297,What number is Andrea Bargnani?,SELECT MAX No FROM table WHERE Player = Andrea Bargnani
298,How many times did kingfisher east bengal fc win?,SELECT MIN Winners FROM table WHERE Nation = Kingfisher East Bengal FC
299,What is the number of position where the pick number is 43?,SELECT COUNT Position FROM table WHERE Pick # = 43
300,What is the most points when the won is 9?,SELECT MAX Pts For FROM table WHERE Won = 9
301,"If the number of police officers is 94, what is the lowest population number?",SELECT MIN Population FROM table WHERE Police officers = 94
302,What rank is 愛のバカ on the Japanese singles chart?,SELECT COUNT Oricon FROM table WHERE Japanese title = 愛のバカ
303,Name the most points against when points for is 860,SELECT MAX Pts Agst FROM table WHERE Pts For = 860
304,"What is the lowest year that regular season is 4th, Rocky Mountain?","SELECT MIN Year FROM table WHERE Regular Season = 4th, Rocky Mountain"
305,How many songs have mi-chemin as their Japanese name and romanji name?,SELECT COUNT Romaji title FROM table WHERE Japanese title = Mi-Chemin
306,What position did the sheffield eagles finish in?,SELECT MAX Position FROM table WHERE Club = Sheffield Eagles
307,What is the population density for 2012 for Gatunda sector?,SELECT MIN Population Density 2012 (km 2 ) FROM table WHERE Sector = Gatunda
308,How many conditions have an unaffected prothrombin time and a prolonged bleeding time,SELECT COUNT Condition FROM table WHERE Prothrombin time = Unaffected AND Bleeding time = Prolonged
309,What is the others# when bush% is 57.0%?,SELECT MAX Others# FROM table WHERE Bush% = 57.0%
310,What is the minimum mundubbera when biggenden is 1882,SELECT MIN Mundubbera FROM table WHERE Biggenden = 1882
311,"In Round 6, how many winning drivers were there?",SELECT COUNT Winning driver FROM table WHERE Rnd = 6
312,What is the most silver medals?,SELECT MAX Silver Medals FROM table
313,what is the minimum rockhampton,SELECT MIN Rockhampton FROM table
314,How many districts have an area of 17.72 KM2?,SELECT COUNT English name FROM table WHERE Area in km² = 17.72
315,What is the highest number of gold medals Naugatuck HS won?,SELECT MAX Gold Medals FROM table WHERE Ensemble = Naugatuck HS
316,What is the minimum laid down?,SELECT MIN Laid down FROM table
317,What is the number of colour with the regisration number of mg-509?,SELECT COUNT Colour FROM table WHERE Registration No. = MG-509
318,what is the maximum round for gt3 winner hector lester tim mullen and pole position of jonny cocker paul drayson,SELECT MAX Round FROM table WHERE GT3 Winner = Hector Lester Tim Mullen AND Pole Position = Jonny Cocker Paul Drayson
319,What is the number for De Vries?,SELECT MIN No. FROM table WHERE Name = de Vries
320,How many episodes had 16.03 million viewers?,SELECT COUNT No. in series FROM table WHERE U.S. viewers (millions) = 16.03
321,What is Austria's maximum area (km2)?,SELECT MAX Area (km²) FROM table WHERE Member countries = Austria
322,what is the least amount in the tournament?,SELECT MIN League Cup FROM table
323,"What is the number of interregnum for duration 3 months, 6 days?","SELECT COUNT Interregnum ended FROM table WHERE Duration = 3 months, 6 days"
324,"what is the highest qualifying rank where the competition is olympic trials, the final-rank is 4 and qualifying score is 15.100?",SELECT MAX Qualifying Rank FROM table WHERE Competition = Olympic Trials AND Final-Rank = 4 AND Qualifying Score = 15.100
325,What is the least amount of freight carried when the super b capacity reached was February 26?,SELECT MIN Freight Carried s Tonne FROM table WHERE Super B Capacity Reached [ citation needed ] = February 26
326,"What is the percentage for manhattan 45,901?","SELECT COUNT % FROM table WHERE Manhattan = 45,901"
327,What is the most recent year?,SELECT MAX Year FROM table
328,List the smallest possible spoilt vote with the sør-trøndelag constituency.,SELECT MIN s Spoilt vote FROM table WHERE Constituency = Sør-Trøndelag
329,How many times did episode 79 originally air? ,SELECT COUNT Original air date FROM table WHERE No. in series = 79
330,"During what weak of the season was the game played on october 4, 1987?","SELECT MAX Week FROM table WHERE Date = October 4, 1987"
331,What is the minimum year born for strasbourg?,SELECT MIN Year born FROM table WHERE Current Club = Strasbourg
332,What is the number of capacity at somerset park?,SELECT COUNT Capacity FROM table WHERE Stadium = Somerset Park
333,In what week was the record 5-9?,SELECT MAX Week FROM table WHERE Record = 5-9
334,what is the total viewers where the date of first broadcast is 28 january 2010 and the episode number is 1?,SELECT MIN Total viewers FROM table WHERE Date of first broadcast = 28 January 2010 AND Episode number = 1
335,How many times is 3 credits 180?,SELECT COUNT 1 credit FROM table WHERE 3 credits = 180
336,"In what week was November 27, 1977?","SELECT MAX Week FROM table WHERE Date = November 27, 1977"
337,what is the episode number where the total viewers is 614000?,SELECT MIN Episode number FROM table WHERE Total viewers = 614000
338,How many 3 credits are there with 5 credits of 5?,SELECT COUNT 3 credits FROM table WHERE 5 credits = 5
339,What is the highest reset points where the events is 23?,SELECT MAX Reset Points FROM table WHERE Events = 23
340,Name the most points for,SELECT MIN Pts For FROM table
341,How many 4 credits is the hand two pair?,SELECT COUNT 4 credits FROM table WHERE Hand = Two pair
342,what is the maximum completed for delta bessborough,SELECT MAX Completed FROM table WHERE Building = Delta Bessborough
343,How many games did whitehaven win?,SELECT MIN Won FROM table WHERE Club = Whitehaven
344,what is the total number of semi-finalist #2 where runner-up is east carolina,SELECT COUNT Semi-Finalist #2 FROM table WHERE Runner-Up = East Carolina
345,what is the earliest first elected with the results re-elected in the district south carolina 3?,SELECT MAX First elected FROM table WHERE Results = Re-elected AND District = South Carolina 3
346,What year has Nerlens Noel (4) as blocker?,SELECT MIN Year FROM table WHERE Blocks = Nerlens Noel (4)
347, how many numer of jamaicans granted british citizenship with naturalisation  by marriage being 1060,SELECT COUNT Numer of Jamaicans granted British citizenship FROM table WHERE Naturalisation by marriage = 1060
348,What's the first elected year of the district whose incumbent is Jim Greenwood?,SELECT MAX First elected FROM table WHERE Incumbent = Jim Greenwood
349,What was the smallest total number of medals?,SELECT MIN Total Medals FROM table
350,"How many episodes had their first air date on March 6, 2008?","SELECT COUNT Episode Titles FROM table WHERE First air date = March 6, 2008"
351,What's the first elected year of the district who's been the last one to do so?,SELECT MAX First elected FROM table
352,what is the lowest qualifying rank?,SELECT MIN Qualifying Rank FROM table
353,"where title is beginning callanetics , what is the total of format ?",SELECT COUNT Format FROM table WHERE Title = Beginning Callanetics
354,what's the latest first elected year,SELECT MAX First elected FROM table
355,What week did the Seahawks play at los angeles memorial coliseum?,SELECT MIN Week FROM table WHERE Game site = Los Angeles Memorial Coliseum
356,"What was the GF attendance at the location of Sydney Football Stadium, Sydney (6)?","SELECT COUNT GF Attendance FROM table WHERE Location = Sydney Football Stadium, Sydney (6)"
357,What's Georgia5's first elected year?,SELECT MAX First elected FROM table WHERE District = Georgia5
358,What's Enrique de la Fuente's weight?,SELECT MIN Weight FROM table WHERE Player = Enrique de la Fuente
359,"What is the compression ratio when the continuous power is  hp (KW) at 2,200 RPM and the critical altitude is at sea level?","SELECT COUNT Compression ratio FROM table WHERE Power, continuous = hp (kW) at 2,200 RPM AND Critical altitude This is the highest altitude at which the engine can achieve its full continuous power rating. Above this altitude, power falls off with height as with a naturally aspirated engine . See Supercharger#Altitude effects for details. = sea level"
360,what is the maximum first elected with incumbent being gus yatron,SELECT MAX First elected FROM table WHERE Incumbent = Gus Yatron
